S.N., time                   , place                                     , magnitude, longitude, latitude, depth
 157, 2018-12-23 19:36:56.920, "172 km NW of Rikaze, China"              ,      4.9 ,   87.4547,  30.1798, 10.0
 158, 2018-12-23 19:32:22.060, "177 km NW of Rikaze, China"              ,      5.8 ,   87.62  ,  30.4079, 10.0
 159, 2018-12-22 23:21:54.860, "7 km NNE of Nagarkot, Nepal"             ,      4.1 ,   85.5548,  27.7764, 10.0
 160, 2018-11-11 07:07:31.800, "14 km NE of D?rchul?, Nepal"             ,      4.5 ,   80.6472,  29.9248, 10.0
 161, 2018-10-31 23:09:01.530, "179 km NW of Rikaze, China"              ,      5.0 ,   87.4647,  30.2891, 10.0
 162, 2018-10-31 01:49:29.220, "172 km NW of Rikaze, China"              ,      4.7 ,   87.6483,  30.3789, 10.0
 163, 2018-10-22 15:10:05.270, "161 km NW of Rikaze, China"              ,      4.5 ,   87.6309,  30.2176, 11.42
 164, 2018-10-05 07:15:04.390, "18 km NW of Birendranagar, Nepal"        ,      4.3 ,   81.4792,  28.7099, 10.0
 165, 2018-10-05 07:08:11.750, "13 km WNW of Dailekh, Nepal"             ,      4.4 ,   81.5789,  28.874 , 10.0
 166, 2018-08-01 15:46:23.750, "173 km NW of Rikaze, China"              ,      5.2 ,   87.6027,  30.3493, 10.0
 167, 2018-08-01 15:45:31.740, "185 km NW of Rikaze, China"              ,      4.3 ,   87.4905,  30.4062, 10.0
 168, 2018-06-28 04:07:47.290, "45 km ENE of Bharatpur, Nepal"           ,      4.8 ,   84.8272,  27.8919, 10.0
 169, 2018-06-28 00:30:53.070, "182 km NW of Rikaze, China"              ,      4.2 ,   87.5273,  30.3943, 10.0
 170, 2018-06-20 04:15:26.410, "29 km NNW of Il?m, Nepal"                ,      4.4 ,   87.8133,  27.1508, 52.91
 171, 2018-06-20 04:08:59.880, "17 km E of Dhankut?, Nepal"              ,      4.4 ,   87.505 ,  26.9633, 38.3
 172, 2018-06-05 01:34:36.810, "64 km NW of Jumla, Nepal"                ,      4.7 ,   81.6777,  29.6464, 10.0
 173, 2018-05-10 20:01:51.640, "81 km NE of Lobujya, Nepal"              ,      4.4 ,   87.421 ,  28.4517,  4.66
 174, 2018-05-08 13:07:39.950, "61 km ENE of Lobujya, Nepal"             ,      4.0 ,   87.4282,  28.0604, 32.61
 175, 2018-03-01 17:27:17.180, "172 km NW of Rikaze, China"              ,      4.9 ,   87.6339,  30.362 , 11.41
